Frame,TotalDetected,TotalMatched,FrameTime_ms,DetectTime_ms,MatchTime_ms
173,896,30,684.820,408.187,18.808
174,896,896,687.191,414.749,15.885
175,896,895,676.388,396.417,16.180
176,908,20,695.170,408.132,21.908
177,908,905,682.005,397.186,24.511
178,889,11,692.980,405.918,18.685
179,889,888,672.579,393.724,15.813
180,911,12,679.831,400.599,16.458
181,911,911,675.025,401.256,17.142
182,911,911,691.448,414.427,16.837
183,884,16,676.864,394.153,21.030
184,884,878,664.204,391.757,15.484
185,888,15,683.247,404.765,15.586
186,888,879,668.661,389.345,15.649
187,888,888,652.711,380.984,16.317
188,886,12,682.632,404.274,17.421
189,886,885,658.951,384.029,15.610
190,890,9,681.920,390.871,23.708
191,890,885,661.329,387.072,16.164
192,876,16,681.295,405.942,15.621
193,876,874,678.137,399.346,18.563
194,876,876,660.869,389.141,15.074
195,889,15,670.261,394.729,16.263
196,889,886,663.269,383.718,16.686
197,905,23,669.740,390.114,16.001
198,905,904,673.460,399.154,16.063
199,905,905,674.778,389.857,16.864
200,868,1,665.068,382.065,15.723
201,869,865,683.461,402.707,15.218
202,901,13,686.456,410.086,17.102
203,901,900,677.617,395.539,17.129
204,902,10,669.356,394.806,16.210
205,902,893,681.595,403.908,16.988
206,902,901,672.144,389.220,19.502
207,935,24,669.667,391.181,16.886
208,935,932,668.941,394.956,17.751
209,924,19,689.908,405.608,17.327
210,918,508,661.849,387.033,16.952
211,918,918,668.675,390.762,17.483
212,903,17,674.238,392.408,16.706
213,903,898,670.040,386.648,16.431
214,913,15,683.939,404.659,17.335
215,914,907,658.967,386.401,16.766
216,893,14,681.244,388.947,16.677
217,893,863,667.554,393.056,16.017
218,893,888,672.237,390.311,16.850
219,912,15,690.690,400.873,17.868
220,912,911,662.452,388.461,18.237
221,907,21,698.058,405.779,16.973
222,907,905,662.734,392.195,16.117
223,907,907,663.875,380.038,16.107
224,915,9,664.484,389.003,16.683
225,915,910,667.857,392.664,16.669
226,914,22,669.009,393.019,17.188
227,914,914,664.121,384.339,17.300
228,893,16,693.202,402.967,16.892
229,893,888,669.087,399.956,16.145
230,893,893,675.606,388.258,23.656
231,911,23,683.380,399.139,16.708
232,912,906,664.774,394.528,16.553
233,915,18,678.726,397.291,16.583
234,915,915,658.363,387.532,16.640
235,915,915,668.900,391.283,18.170
236,927,11,685.270,404.992,16.720
237,927,923,661.800,386.476,16.992
238,916,21,679.499,396.006,17.327
239,916,915,664.749,392.485,16.485
240,934,11,678.458,399.440,17.911
241,934,934,667.277,391.199,19.362
242,934,934,696.907,415.358,17.439
243,949,18,693.526,405.147,17.868
244,949,947,666.477,391.092,17.950
245,931,24,675.275,394.294,17.492
246,931,925,678.123,403.685,16.745
247,931,931,665.551,389.815,17.103
248,903,18,674.634,392.903,16.208
249,903,903,665.203,390.621,18.294
250,913,15,687.919,394.648,16.819
251,913,912,647.871,373.305,16.400
252,940,12,661.262,386.796,16.945
253,940,938,669.304,383.804,17.659
254,940,940,660.345,383.031,17.281
255,938,18,664.718,385.084,17.320
256,938,938,663.642,388.344,19.188
257,926,11,678.773,377.686,27.815
258,926,926,654.477,380.239,17.274
259,926,926,659.756,388.129,17.268
260,933,21,676.022,385.790,17.067
261,935,933,661.926,388.925,17.598
262,925,30,675.698,396.740,17.274
263,925,923,670.694,392.323,18.494
264,934,34,674.033,391.315,18.344
265,934,933,669.332,391.495,17.393
266,934,934,661.274,388.644,17.463
267,919,19,662.129,377.227,19.030
268,919,918,649.897,377.534,16.780
269,922,25,678.238,392.583,17.922
270,923,447,674.161,392.865,16.769
271,923,922,685.731,398.936,21.595
272,930,25,709.816,425.056,17.142
273,930,928,659.316,384.302,16.957
274,933,17,692.735,389.825,29.000
275,933,931,679.582,402.687,16.917
276,913,30,711.263,395.193,17.538
277,913,900,680.725,395.425,16.933
278,913,911,664.625,380.669,16.551
279,928,24,671.951,384.566,17.099
280,929,915,658.023,381.366,17.499
281,918,19,656.405,377.810,16.575
282,918,917,656.805,382.950,16.628
283,918,918,648.991,380.537,16.837
284,949,12,661.368,380.002,17.677
285,949,940,702.791,408.750,17.726
286,940,17,713.023,405.575,18.917
287,940,933,702.463,415.640,17.889
288,939,13,747.793,444.969,20.697
