Frame,Cell0_Detected,Cell1_Detected,Cell2_Detected,Cell3_Detected,Cell0_Matched,Cell1_Matched,Cell2_Matched,Cell3_Matched,Cell0_ProcTime_ms,Cell1_ProcTime_ms,Cell2_ProcTime_ms,Cell3_ProcTime_ms
90,250,250,250,250,120,131,133,153,175.17,174.809,172.85,173.106
91,250,250,250,250,250,250,250,250,169.896,171.123,170.909,176.877
92,250,250,250,250,3,5,4,6,195.307,189.669,250.722,238.827
93,250,250,250,250,250,250,250,250,185.432,186.054,180.857,175.51
94,250,250,250,250,7,4,4,6,177.801,179.339,179.028,176.469
95,250,250,250,250,249,250,250,250,169.783,170.306,174.494,174.144
96,250,250,250,250,14,5,3,4,175.221,175.76,170.847,170.431
97,250,250,250,250,247,245,248,250,173.701,166.676,172.239,167.363
98,250,250,250,250,250,250,250,248,167.637,168.309,165.151,168.807
99,250,250,250,250,7,3,2,5,172.556,172.575,183.867,169.995
100,250,250,250,250,250,249,250,250,165.22,175.911,173.694,169.635
101,242,250,250,250,5,0,2,2,169.692,171.207,175.342,174.338
102,242,250,250,250,242,250,250,249,162.287,169.288,169.958,179.711
103,242,250,250,250,242,250,250,250,166.94,171.625,170.924,174.062
104,250,250,250,250,3,4,4,3,166.037,171.759,172.596,167.671
105,250,250,250,250,250,249,250,248,172.182,175.625,173.488,176.922
106,250,250,250,250,10,3,9,10,172.221,174.119,191.211,184.009
107,250,250,250,250,250,250,250,250,173.984,168.125,170.558,178.829
108,250,250,250,250,5,3,6,7,167.196,171.096,173.168,179.037
109,250,250,250,250,250,248,248,250,171.154,172.32,170.715,171.48
110,250,250,250,250,250,250,250,250,161.631,166.719,166.048,168.572
111,231,250,250,250,8,5,4,12,164.601,171.838,179.51,171.986
112,231,250,250,250,231,250,250,250,163.517,166.469,168.614,173.379
113,250,250,250,250,6,4,9,9,173.246,171.33,167.361,171.726
114,250,250,250,250,250,250,250,249,168.327,173.605,168.99,171.146
115,250,250,250,250,250,250,250,250,167.674,166.162,170.861,177.147
116,237,250,250,250,6,4,6,10,167.294,172.162,175.815,174.455
117,237,250,250,250,235,249,250,250,162.709,169.468,168.836,170.071
118,224,250,250,250,5,8,9,5,160.311,171.477,178.164,170.648
119,224,250,250,250,224,250,250,250,159.999,169.756,169.844,171.6
120,229,250,250,250,5,3,8,7,166.003,175.594,176.355,187.209
121,229,250,250,250,229,250,250,250,169.712,174.357,170.718,173.558
122,229,250,250,250,229,250,250,250,167.532,172.517,169.661,175.902
123,250,250,250,250,7,4,3,7,174.91,176.406,174.791,175.038
124,250,250,250,250,249,250,250,250,166.298,172.179,169.83,170.869
125,229,250,250,250,2,6,5,3,167.438,173.479,180.917,174.971
126,229,250,250,250,226,250,250,250,164.557,172.272,175.344,177.641
127,229,250,250,250,229,250,250,250,183.614,177.441,178.205,179.498
128,240,250,250,250,6,5,7,5,175.131,169.492,171.623,174.275
129,240,250,250,250,240,250,249,250,165.456,171.37,172.165,179.778
130,213,250,250,250,6,7,6,4,164.85,176.593,174.057,174.848
131,213,250,250,250,213,250,250,250,154.942,167.863,171.74,172.989
132,221,250,250,250,2,2,11,6,162.47,176.138,170.372,172.885
133,221,250,250,250,215,250,250,250,161.377,169.332,169.085,173.845
134,221,250,250,250,221,250,250,250,161.064,171.865,170.524,181.731
